id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
62715,Yevgeny Nikolayevich Koptelov,M,22.0,190.0,72.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming 100 Metres Butterfly,,Russia,19.9
62715,Yevgeny Nikolayevich Koptelov,M,22.0,190.0,72.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming 200 Metres Butterfly,,Russia,19.9
62715,Yevgeny Nikolayevich Koptelov,M,22.0,190.0,72.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming 4 X 100 Metres Medley Relay,,Russia,19.9
62716,Dmitry Vladimirovich Koptur,M,22.0,196.0,82.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming 400 Metres Freestyle,,Belarus,21.3
62716,Dmitry Vladimirovich Koptur,M,22.0,196.0,82.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Swimming,"Swimming 1,500 Metres Freestyle",,Belarus,21.3
62716,Dmitry Vladimirovich Koptur,M,22.0,196.0,82.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming 4 X 200 Metres Freestyle Relay,,Belarus,21.3
62717,Sergey Vladimirovich Kopylov,M,19.0,177.0,84.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Sprint,Bronze,Russia,26.8
62719,Sergey Kopytov,M,30.0,168.0,99.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Heavyweight I,,Kazakhstan,35.1
62720,Vladimir Nikolayevich Kopytov,M,30.0,176.0,69.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Welterweight, Greco-Roman",,Belarus,22.3
62720,Vladimir Nikolayevich Kopytov,M,34.0,176.0,69.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Welterweight, Greco-Roman",,Belarus,22.3
62723,Nataliya Korabelnikova,F,20.0,164.0,53.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming 400 Metres Freestyle,,Kyrgyzstan,19.7
62723,Nataliya Korabelnikova,F,20.0,164.0,53.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming 4 X 200 Metres Freestyle Relay,,Kyrgyzstan,19.7
62730,Gennady Vladimirovich Korban,M,31.0,175.0,82.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Middleweight, Greco-Roman",Gold,Russia,26.8
62737,Anatoly Viktorovich Korbut,M,18.0,185.0,82.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Coxed Pairs,,Russia,24.0
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,BLR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Individual All-Around,,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,BLR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Team All-Around,Gold,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,BLR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Floor Exercise,Gold,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,BLR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Horse Vault,,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,BLR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Uneven Bars,Silver,Belarus,16.9
