id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
27605,Viktor Viktorovich Denisov,M,22.0,188.0,90.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Kayak Fours, 1,000 Metres",Silver,Russia,25.5,Paddling,14,25,35.9,64.1
27606,Vitaly Valeryevich Denisov,M,25.0,187.0,74.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Sprint,,Russia,21.2,Skiing,48,75,39.02,60.98
27606,Vitaly Valeryevich Denisov,M,25.0,187.0,74.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 15 Kilometres,,Russia,21.2,Skiing,48,75,39.02,60.98
27606,Vitaly Valeryevich Denisov,M,25.0,187.0,74.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 10/10 Kilometres Pursuit,,Russia,21.2,Skiing,48,75,39.02,60.98
27606,Vitaly Valeryevich Denisov,M,25.0,187.0,74.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 4 X 10 Kilometres Relay,,Russia,21.2,Skiing,48,75,39.02,60.98
27607,Vladimir Gennadyevich Denisov,M,25.0,173.0,64.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Foil, Individual",,Russia,21.4,Miscellaneous,7,22,24.14,75.86
27607,Vladimir Gennadyevich Denisov,M,25.0,173.0,64.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Foil, Team",Silver,Russia,21.4,Miscellaneous,7,22,24.14,75.86
27607,Vladimir Gennadyevich Denisov,M,29.0,173.0,64.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Foil, Individual",,Russia,21.4,Miscellaneous,8,23,25.81,74.19
27607,Vladimir Gennadyevich Denisov,M,29.0,173.0,64.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Foil, Team",,Russia,21.4,Miscellaneous,8,23,25.81,74.19
27608,Vladimir Mikhaylovich Denisov,M,25.0,181.0,94.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey,,Belarus,28.7,Skating,1,22,4.35,95.65
27609,Aleksandr Vladimirovich Denisyev,M,22.0,189.0,100.0,Russia-1,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed (Men)'S Doubles,,Russia,28.0,Sliding,11,29,27.5,72.5
27609,Aleksandr Vladimirovich Denisyev,M,22.0,189.0,100.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver,Russia,28.0,Sliding,11,29,27.5,72.5
27611,Zhansel Deniz,F,24.0,175.0,67.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Welterweight,,Kazakhstan,21.9,Combat,10,23,30.3,69.7
27656,Petro Ivanovych Denysenko,M,31.0,183.0,76.0,Soviet Union,UKR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Pole Vault,,Ukraine,22.7,Combined,2,10,16.67,83.33
27687,Viktor Sergeyevich Deputatov,M,19.0,182.0,82.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey,Bronze,Russia,24.8,Miscellaneous,21,33,38.89,61.11
27687,Viktor Sergeyevich Deputatov,M,27.0,182.0,82.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey,,Russia,24.8,Miscellaneous,8,35,18.6,81.4
27687,Viktor Sergeyevich Deputatov,M,31.0,182.0,82.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey,,Russia,24.8,Miscellaneous,8,42,16.0,84.0
27692,Vitaly Vyacheslavovich Derbenyov,M,24.0,160.0,56.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Bantamweight,,Belarus,21.9,Miscellaneous,1,11,8.33,91.67
27692,Vitaly Vyacheslavovich Derbenyov,M,28.0,160.0,56.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Bantamweight,,Belarus,21.9,Miscellaneous,4,6,40.0,60.0
27692,Vitaly Vyacheslavovich Derbenyov,M,32.0,160.0,56.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Bantamweight,,Belarus,21.9,Miscellaneous,4,12,25.0,75.0
27702,Ivan Anatolyevich Derevsky,M,26.0,170.0,80.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Trap,,Russia,27.7,Target,11,21,34.38,65.62
