id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region
96668,Svetlana Gennadyevna Pozdeyeva (-Vanyo),F,19.0,170.0,60.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming 4 X 100 Metres Medley Relay,,Russia
96669,Dmitry Anatolyevich Pozdnyakov,M,25.0,180.0,72.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 10 Kilometres Sprint,,Kazakhstan
96669,Dmitry Anatolyevich Pozdnyakov,M,25.0,180.0,72.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 20 Kilometres,,Kazakhstan
96669,Dmitry Anatolyevich Pozdnyakov,M,25.0,180.0,72.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Kazakhstan
96670,Stanislav Alekseyevich Pozdnyakov,M,18.0,178.0,78.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Sabre, Team",Gold,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,22.0,178.0,78.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Sabre, Individual",Gold,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,22.0,178.0,78.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Sabre, Team",Gold,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,26.0,178.0,78.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Sabre, Individual",,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,26.0,178.0,78.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Sabre, Team",Gold,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,30.0,178.0,78.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Sabre, Individual",,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,30.0,178.0,78.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Sabre, Team",Bronze,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,34.0,178.0,78.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Sabre, Individual",,Russia
96670,Stanislav Alekseyevich Pozdnyakov,M,34.0,178.0,78.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Sabre, Team",,Russia
96671,Vyacheslav Vladimirovich Pozdnyakov,M,26.0,181.0,77.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Foil, Team",Bronze,Russia
96672,Anastasiya Yuryevna Pozdnyakova,F,22.0,162.0,50.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Synchronized Springboard,Silver,Russia
96672,Anastasiya Yuryevna Pozdnyakova,F,26.0,162.0,50.0,Russia,RUS,2012 Summer,2012,Summer,London,Diving,Diving Springboard,,Russia
96673,Ivan Semyonovich Pozhidayev,M,34.0,176.0,70.0,Soviet Union,RUS,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics 10,000 Metres",,Russia
96675,Danas Pozniakas,M,28.0,182.0,81.0,Soviet Union,LTU,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Light-Heavyweight,Gold,Lithuania
96676,Valentina Poznyak,F,23.0,158.0,59.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming 100 Metres Butterfly,,Russia
96676,Valentina Poznyak,F,23.0,158.0,59.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming 4 X 100 Metres Medley Relay,,Russia
96731,Alfred Praks,M,22.0,172.0,72.0,Estonia,EST,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Lightweight, Greco-Roman",,Estonia
96731,Alfred Praks,M,22.0,172.0,72.0,Estonia,EST,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Lightweight, Freestyle",,Estonia
96731,Alfred Praks,M,26.0,172.0,72.0,Estonia,EST,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Welterweight, Freestyle",,Estonia
96741,Janno Prants,M,24.0,178.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 10 Kilometres Sprint,,Estonia
96741,Janno Prants,M,24.0,178.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 20 Kilometres,,Estonia
96741,Janno Prants,M,24.0,178.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Estonia
96741,Janno Prants,M,28.0,178.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 10 Kilometres Sprint,,Estonia
96741,Janno Prants,M,28.0,178.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 12.5 Kilometres Pursuit,,Estonia
